N,tree_type,insertion_time_ns,query_time_ns
1000000,ART,33632246,28114767
1000000,QuART_tail,28014494,1286129
1000000,QuART_lil,29357339,1363665
1000000,QuART_stail,25279373,1226372
1000000,QuART_lil_can,23524010,1252625
1000000,QuART_stail_reset,25216013,1313838
1000000,QuART_stail_reset_bidir,25690740,29401651
5000000,ART,169544487,128435117
5000000,QuART_tail,135243864,7450224
5000000,QuART_lil,153981275,7665237
5000000,QuART_stail,129177620,7450701
5000000,QuART_lil_can,130025482,7580003
5000000,QuART_stail_reset,119289112,7537851
5000000,QuART_stail_reset_bidir,117329113,125028219
10000000,ART,329592290,262765277
10000000,QuART_tail,281992913,16404650
10000000,QuART_lil,315610194,15890891
10000000,QuART_stail,249692529,16144246
10000000,QuART_lil_can,252319063,16471676
10000000,QuART_stail_reset,254850427,16057360
10000000,QuART_stail_reset_bidir,248259791,260941323
50000000,ART,1705398118,1295428760
50000000,QuART_tail,1445521538,105851471
50000000,QuART_lil,1546202468,110344197
50000000,QuART_stail,1245702674,107445568
50000000,QuART_lil_can,1226838616,105969408
50000000,QuART_stail_reset,1258765182,108674413
50000000,QuART_stail_reset_bidir,1257063203,1364752862
100000000,ART,3520422824,2967267914
100000000,QuART_tail,2904272763,258262584
100000000,QuART_lil,3110267266,260394125
100000000,QuART_stail,2578832692,239982510
100000000,QuART_lil_can,2523945541,252404859
100000000,QuART_stail_reset,2515730512,246170779
100000000,QuART_stail_reset_bidir,2528614168,3064833769
